setare_viteza_operare,setare_sarcina_utila,senz_temperatura_articulatie_3,senz_vibratii_efector_final,senz_curent_consumat_motor_1,ore_functionare_de_la_revizie,reteta_productie_activa,prob_cerere_piesa_mecanica_24h,prob_cerere_piesa_electrica_24h,estimare_calitate_produs_finit,estimare_timp_ciclu_secunde
78.57,0.93,47.67,0.9734,2.94,26.6,1,0.05,0.02,87.7,12.46
82.25,6.35,49.09,0.9791,7.51,27.5,1,0.05,0.02,86.99,12.51
83.49,0.58,46.06,1.1158,2.54,28.2,0,0.05,0.02,85.7,12.54
65.04,4.42,48.48,0.8248,6.08,32.6,1,0.05,0.02,88.09,12.6
76.34,4.06,46.51,1.1442,5.86,30.1,1,0.05,0.02,84.12,12.48
55.57,7.36,44.76,0.8785,8.78,30.2,1,0.05,0.02,90.95,12.56
85.21,7.46,47.38,0.8654,8.87,34.5,2,0.05,0.02,89.29,12.8
56.93,3.69,45.86,0.8115,5.06,36.3,0,0.05,0.02,88.7,12.32
68.64,8.31,46.86,0.8235,9.42,34.1,0,0.05,0.02,86.64,12.47
77.82,1.92,48.95,1.0866,3.82,36.7,1,0.05,0.02,87.93,12.48
68.79,5.34,46.19,0.868,7.11,35.3,2,0.05,0.02,93.3,12.65
94.0,6.65,47.58,0.9972,7.98,36.2,2,0.05,0.02,89.78,12.57
71.12,3.01,47.13,1.0261,4.53,37.6,0,0.05,0.02,87.78,12.49
97.92,7.8,49.96,0.8587,9.05,40.2,0,0.05,0.02,91.83,12.36
59.88,8.71,46.38,0.7477,9.68,40.5,2,0.05,0.02,83.7,12.41
80.2,9.71,45.06,0.8347,10.86,43.0,2,0.05,0.02,90.97,12.4
62.62,2.34,45.15,0.7726,3.81,44.0,0,0.05,0.02,89.66,12.53
76.57,7.07,46.79,1.0651,8.47,42.1,1,0.05,0.02,86.96,12.67
92.87,2.25,48.34,1.0501,4.34,45.4,1,0.05,0.02,87.01,12.66
86.82,1.31,49.48,0.8472,3.39,48.6,1,0.05,0.02,89.39,12.53
85.27,7.81,47.97,0.9058,8.79,46.6,0,0.05,0.02,86.38,12.51
66.26,6.09,47.09,0.7728,7.43,46.2,2,0.05,0.02,89.48,12.59
96.67,1.55,49.25,0.9194,3.54,47.3,1,0.05,0.02,86.04,12.42
71.22,0.64,46.6,0.8712,2.4,49.6,1,0.05,0.02,90.85,12.76
52.92,7.13,48.55,0.7607,8.46,51.0,2,0.05,0.02,87.79,12.37
99.66,9.36,49.39,1.0243,10.2,50.3,2,0.05,0.02,87.21,12.45
52.95,9.14,45.52,0.6874,10.21,55.8,1,0.05,0.02,94.48,12.43
75.77,6.89,45.78,1.0296,8.44,54.8,0,0.05,0.02,88.41,12.66
57.42,2.07,42.71,0.7721,3.87,54.2,0,0.05,0.02,87.74,12.38
94.56,4.95,48.15,1.0479,6.68,56.1,2,0.05,0.02,84.61,12.62
73.06,8.62,47.38,1.0382,9.7,55.6,0,0.05,0.02,87.32,12.52
68.83,3.54,49.27,0.9708,5.45,59.8,1,0.05,0.02,91.55,12.55
63.23,8.36,46.75,0.742,9.63,57.8,0,0.05,0.02,90.32,12.59
64.36,6.07,46.76,0.8356,7.42,58.9,0,0.05,0.02,91.07,12.49
64.77,1.87,46.77,0.7717,3.82,62.5,1,0.05,0.02,95.49,12.52
91.28,3.6,49.78,0.9246,5.39,64.2,2,0.05,0.02,89.83,12.66
82.57,5.99,47.88,0.7772,7.4,64.2,2,0.05,0.02,89.7,12.65
69.15,7.15,47.48,0.7278,8.45,66.4,0,0.05,0.02,89.79,12.45
60.95,1.74,47.54,0.6763,3.84,67.4,1,0.05,0.02,94.74,12.44
83.36,5.32,48.7,1.0658,6.92,68.7,2,0.05,0.02,89.0,12.62
95.99,1.4,48.0,1.0882,3.28,69.1,2,0.05,0.02,88.7,12.45
86.14,6.47,49.36,0.9881,7.87,68.3,1,0.05,0.02,87.77,12.46
62.33,5.57,45.55,0.827,7.27,69.7,0,0.05,0.02,92.0,12.42
55.47,1.94,46.06,0.7809,3.75,70.1,1,0.05,0.02,91.21,12.45
53.14,7.43,46.8,0.7964,8.66,72.0,1,0.05,0.02,88.47,12.64
66.73,8.06,46.06,0.9371,9.26,74.6,2,0.05,0.02,90.43,12.66
72.36,6.64,45.98,0.8423,7.97,74.7,2,0.05,0.02,90.51,12.48
83.24,3.53,45.36,1.2566,5.43,74.5,2,0.05,0.02,82.12,12.5
99.54,8.12,52.16,1.0207,9.38,73.1,2,0.05,0.02,88.17,12.56
97.31,5.94,50.6,1.0053,7.57,78.6,0,0.05,0.02,87.77,12.52
93.64,1.32,50.17,0.9606,3.59,77.5,2,0.05,0.02,88.38,12.5
66.08,2.02,46.83,0.7864,3.73,79.8,1,0.05,0.02,89.17,12.37
66.57,9.95,48.08,0.882,11.05,77.7,0,0.05,0.02,89.84,12.48
70.17,7.11,42.15,0.7721,8.23,81.5,2,0.05,0.02,89.33,12.43
58.44,8.65,45.24,0.9103,10.13,82.1,1,0.05,0.02,87.75,12.49
97.12,4.12,49.31,1.1594,5.88,80.1,1,0.05,0.02,88.78,12.58
81.89,9.48,48.6,0.8149,10.47,81.4,1,0.05,0.02,89.2,12.43
76.74,8.46,47.93,0.8226,9.69,83.3,0,0.05,0.02,88.0,12.54
84.82,4.39,49.11,0.9453,6.16,87.0,2,0.05,0.02,90.02,12.61
81.55,6.81,47.14,0.9685,8.26,84.8,2,0.05,0.02,88.09,12.56
81.56,7.52,47.81,0.7674,8.8,87.3,1,0.05,0.02,89.72,12.55
63.12,8.24,49.64,0.7749,8.85,88.4,0,0.05,0.02,87.81,12.56
57.1,6.36,46.8,0.8745,7.73,88.8,1,0.05,0.02,91.05,12.5
84.91,4.72,47.18,0.8811,6.1,90.6,1,0.05,0.02,90.22,12.69
96.27,2.62,49.67,1.1328,4.94,89.1,2,0.05,0.02,83.73,12.67
57.4,5.25,46.16,0.9457,6.78,91.4,1,0.05,0.02,82.51,12.77
68.9,9.13,46.63,0.9447,10.24,92.7,2,0.05,0.02,86.87,12.6
99.22,2.83,49.53,1.0348,4.48,94.4,2,0.05,0.02,90.46,12.44
96.59,2.21,52.18,0.8761,4.06,94.1,0,0.05,0.02,89.02,12.67
56.61,3.85,46.4,0.8905,5.47,97.8,0,0.05,0.02,90.8,12.43
80.88,5.74,47.15,1.0405,7.14,97.3,0,0.05,0.02,86.39,12.65
61.18,9.8,44.48,0.7666,10.9,101.0,0,0.05,0.02,92.69,12.61
84.68,8.39,47.4,0.8771,9.54,100.2,1,0.05,0.02,90.56,12.44
92.68,2.25,50.8,0.893,4.28,100.3,2,0.05,0.02,87.22,12.41
52.62,8.74,46.99,0.7359,9.86,101.2,0,0.05,0.02,88.82,12.46
64.24,2.46,47.33,0.785,4.71,103.9,2,0.05,0.02,90.1,12.41
87.98,8.95,46.84,0.836,10.24,103.1,2,0.05,0.02,91.18,12.46
79.1,3.7,44.98,0.8815,5.42,105.6,0,0.05,0.02,89.56,12.49
94.71,9.78,49.75,1.0553,10.74,105.7,2,0.05,0.02,86.26,12.64
76.41,0.87,47.74,0.8312,2.85,105.2,2,0.05,0.02,92.8,12.39
59.32,1.31,46.47,0.761,3.42,108.0,1,0.05,0.02,91.21,12.58
59.61,1.22,43.18,0.8184,3.26,108.7,0,0.05,0.02,89.82,12.67
78.95,3.6,48.38,0.9103,5.33,107.1,0,0.05,0.02,86.78,12.48
83.31,7.27,49.99,0.9039,8.64,110.4,2,0.05,0.02,88.8,12.61
90.29,5.71,48.74,1.123,7.4,112.4,1,0.05,0.02,82.4,12.52
84.02,9.76,45.4,0.8636,10.96,112.3,1,0.05,0.02,89.79,12.48
74.41,1.31,48.08,0.7056,3.13,113.7,1,0.05,0.02,92.51,12.62
52.87,2.93,44.39,0.8736,4.54,115.7,1,0.05,0.02,88.13,12.63
59.38,6.39,46.4,0.8915,7.86,116.0,0,0.05,0.02,89.89,12.54
94.56,8.27,52.98,1.059,9.41,116.7,0,0.05,0.02,90.09,12.48
68.7,1.2,46.93,0.9564,3.2,119.8,0,0.05,0.02,86.64,12.51
99.52,2.39,50.97,0.9656,4.18,120.6,2,0.05,0.02,90.03,12.49
66.08,4.59,47.34,0.7762,6.25,121.3,2,0.05,0.02,89.42,12.6
56.68,7.1,47.03,0.8685,8.41,119.2,2,0.05,0.02,88.23,12.59
61.52,5.42,47.42,0.9179,7.24,121.7,0,0.05,0.02,89.61,12.56
63.85,3.05,46.14,0.812,5.14,120.4,1,0.05,0.02,92.05,12.66
88.57,4.38,49.6,1.0045,6.05,125.1,1,0.05,0.02,88.81,12.42
80.72,3.2,47.06,1.0468,4.87,124.3,2,0.05,0.02,89.56,12.44
91.77,8.78,49.29,1.0882,9.79,127.5,2,0.05,0.02,81.8,12.63
70.4,5.2,48.14,0.7796,6.49,127.8,0,0.05,0.02,91.86,12.28
62.98,3.39,48.02,1.0314,5.0,125.9,0,0.05,0.02,90.85,12.62
58.99,5.73,45.62,0.6981,7.28,130.4,2,0.05,0.02,92.1,12.42
55.88,7.2,45.42,0.941,8.29,128.6,2,0.05,0.02,88.86,12.44
72.45,8.04,50.07,0.9237,9.39,131.5,2,0.05,0.02,85.91,12.49
73.88,5.82,49.54,1.0429,7.12,130.8,0,0.05,0.02,89.31,12.51
83.85,3.14,46.45,0.9994,5.13,133.5,0,0.05,0.02,87.91,12.61
63.22,9.05,48.75,0.7875,10.39,134.2,2,0.05,0.02,90.44,12.66
68.72,4.45,45.77,0.7227,6.09,134.4,1,0.05,0.02,90.07,12.59
74.78,6.86,47.82,0.88,7.92,135.0,0,0.05,0.02,92.54,12.6
59.19,7.51,46.09,0.7921,8.4,135.3,1,0.05,0.02,91.62,12.49
60.24,9.46,45.14,0.9454,10.33,135.2,1,0.05,0.02,87.37,12.53
54.18,8.65,43.71,0.8585,9.89,141.0,2,0.05,0.02,89.61,12.68
75.23,4.89,46.06,0.7628,6.79,138.3,2,0.05,0.02,92.66,12.68
52.13,9.09,44.8,0.7014,9.95,138.6,2,0.05,0.02,92.59,12.59
79.08,8.96,49.67,0.8687,10.12,143.8,2,0.05,0.02,90.14,12.67
69.42,8.46,45.25,0.9657,9.48,141.0,2,0.05,0.02,90.09,12.69
63.96,4.26,46.61,1.0178,5.88,145.0,0,0.05,0.02,86.02,12.47
53.71,9.81,46.5,0.937,11.11,145.1,2,0.05,0.02,86.85,12.54
60.44,7.33,45.07,0.8469,8.45,144.6,2,0.05,0.02,91.41,12.58
73.24,7.65,48.57,0.8087,9.12,148.4,1,0.05,0.02,89.51,12.48
79.72,0.63,46.98,0.995,3.05,147.9,1,0.05,0.02,88.24,12.62
91.96,2.88,48.22,0.9471,4.53,149.8,0,0.05,0.02,87.32,12.5
83.66,1.7,47.46,0.8279,3.44,147.1,0,0.05,0.02,91.33,12.69
57.27,3.45,46.61,0.8899,5.21,152.9,0,0.05,0.02,89.26,12.52
54.41,6.73,45.64,0.9471,8.07,151.4,0,0.05,0.02,88.9,12.68
93.08,6.24,50.48,0.8549,8.02,153.5,0,0.05,0.02,91.1,12.56
83.49,2.11,48.3,1.0449,4.12,154.4,0,0.05,0.02,86.71,12.63
60.63,7.8,47.18,0.9314,9.18,152.7,1,0.05,0.02,90.58,12.57
62.72,5.5,44.38,0.8686,6.76,153.1,1,0.05,0.02,85.11,12.6
65.71,9.77,45.85,0.9423,10.11,156.8,2,0.05,0.02,88.8,12.55
66.47,4.57,48.11,1.0521,6.2,155.3,1,0.05,0.02,86.74,12.53
93.81,5.11,51.11,0.9553,6.65,156.3,0,0.05,0.02,86.89,12.54
62.41,9.77,47.25,0.929,10.83,161.5,0,0.05,0.02,90.32,12.57
90.71,9.1,50.76,0.9323,10.65,159.3,1,0.05,0.02,91.47,12.53
70.31,5.18,50.18,0.8721,6.67,160.2,0,0.05,0.02,89.27,12.63
55.18,1.29,46.05,0.7908,3.35,161.7,2,0.05,0.02,90.07,12.54
94.63,7.41,48.66,1.0373,8.65,161.2,2,0.05,0.02,89.03,12.6
71.18,2.82,47.52,0.8498,4.46,163.5,0,0.05,0.02,88.16,12.64
86.44,3.78,50.31,1.2017,5.37,165.9,2,0.05,0.02,84.55,12.74
88.47,9.41,47.16,1.1275,10.27,166.0,0,0.05,0.02,85.23,12.67
70.34,1.7,48.25,1.0176,3.25,167.4,2,0.05,0.02,89.26,12.67
78.6,5.94,50.32,1.1369,7.7,170.7,0,0.05,0.02,86.88,12.42
65.32,5.13,48.7,0.9574,6.64,167.8,0,0.05,0.02,89.93,12.58
64.49,2.92,48.17,0.9941,4.81,170.9,1,0.05,0.02,86.35,12.58
62.33,8.58,47.16,0.7941,9.58,174.0,2,0.05,0.02,92.39,12.42
85.93,8.41,48.57,1.0014,9.33,173.2,2,0.05,0.02,88.34,12.44
73.55,9.31,48.97,0.6506,10.78,174.9,0,0.05,0.02,88.73,12.68
68.58,5.5,50.03,0.8913,7.45,173.8,1,0.05,0.02,88.63,12.66
93.58,6.27,51.02,1.0089,7.7,174.0,1,0.05,0.02,87.18,12.6
73.79,6.88,47.96,0.9751,8.12,176.6,2,0.05,0.02,86.6,12.69
97.82,5.33,51.15,1.216,7.06,177.4,0,0.05,0.02,83.89,12.74
65.8,1.44,46.76,0.8041,3.49,178.9,2,0.05,0.02,94.08,12.66
61.83,9.48,44.74,0.8254,10.38,179.8,1,0.05,0.02,90.24,12.75
77.93,2.32,48.3,0.9549,4.12,182.1,0,0.05,0.02,87.13,12.53
68.44,6.7,49.72,1.113,7.87,183.9,2,0.05,0.02,82.29,12.55
82.05,6.59,48.46,0.884,7.81,184.6,1,0.05,0.02,91.05,12.82
96.56,3.88,51.78,0.9691,5.64,182.7,2,0.05,0.02,88.91,12.89
70.25,2.31,44.81,0.8874,4.06,185.8,0,0.05,0.02,90.63,12.51
60.54,2.0,46.76,0.9427,3.77,184.4,1,0.05,0.02,90.21,12.62
71.95,1.83,49.48,0.9407,3.6,188.7,2,0.05,0.02,89.0,12.5
84.64,1.37,51.57,1.0256,3.08,188.1,1,0.05,0.02,91.59,12.65
89.37,7.86,47.63,1.0486,9.08,190.3,1,0.05,0.02,85.08,12.46
92.86,5.46,52.53,1.0738,7.0,190.5,1,0.05,0.02,87.34,12.31
58.27,0.8,48.75,0.7448,2.74,189.5,0,0.05,0.02,91.41,12.65
97.38,2.18,51.67,0.9882,3.9,193.9,1,0.05,0.02,91.55,12.55
84.53,0.92,48.56,1.0838,2.81,194.4,0,0.05,0.02,87.76,12.69
78.04,9.57,46.28,0.9842,10.79,192.6,2,0.05,0.02,86.11,12.54
80.79,7.96,47.48,0.9748,9.11,193.3,1,0.05,0.02,88.86,12.54
91.25,6.01,51.84,1.056,7.35,194.6,1,0.05,0.02,85.25,12.79
80.12,3.98,46.41,1.0695,5.84,196.8,2,0.05,0.02,92.19,12.51
50.72,6.76,46.13,0.9108,7.84,195.9,2,0.05,0.02,89.28,12.77
82.47,9.52,48.59,0.9357,10.89,198.5,2,0.05,0.02,87.67,12.59
61.36,3.48,46.59,0.7286,5.28,198.5,1,0.05,0.02,91.4,12.55
61.45,7.61,46.64,0.9566,9.29,198.7,0,0.05,0.02,90.63,12.57
97.01,6.93,50.74,1.0736,8.29,200.0,1,0.05,0.02,91.95,12.53
67.04,3.34,48.65,0.8024,4.95,204.2,2,0.05,0.02,90.56,12.7
54.25,8.52,47.2,0.8885,9.69,204.0,2,0.05,0.02,89.89,12.55
79.6,9.8,48.77,0.9887,10.56,205.2,2,0.05,0.02,86.23,12.66
54.12,9.53,48.31,0.7324,10.52,203.4,2,0.05,0.02,87.1,12.68
73.05,3.89,48.41,0.8263,5.82,204.4,1,0.05,0.02,88.55,12.73
75.71,8.87,49.59,1.0521,9.94,206.7,2,0.05,0.02,88.38,12.62
53.63,1.22,47.02,0.933,3.18,207.5,2,0.05,0.02,90.81,12.84
61.19,6.6,46.52,0.869,8.27,208.7,2,0.05,0.02,89.47,12.74
98.48,2.72,52.96,1.0072,4.46,208.5,2,0.05,0.02,87.04,12.47
58.0,7.74,46.07,0.9159,9.17,213.1,2,0.05,0.02,91.51,12.77
86.88,4.38,51.26,0.8972,5.86,214.0,1,0.05,0.02,87.51,12.48
99.79,6.82,52.99,1.1475,8.22,214.6,2,0.05,0.02,85.14,12.74
95.26,4.95,52.41,1.0461,6.36,215.2,2,0.05,0.02,88.2,12.64
73.19,3.69,50.5,0.9792,5.59,217.8,1,0.05,0.02,88.13,12.62
61.65,1.35,45.02,0.8358,3.43,214.8,1,0.05,0.02,88.12,12.68
73.83,2.87,46.57,1.0533,4.65,217.4,0,0.05,0.02,87.0,12.59
63.48,3.54,49.75,0.9951,5.43,217.3,2,0.05,0.02,88.45,12.82
83.69,4.69,51.1,1.1001,6.64,217.7,2,0.05,0.02,89.31,12.8
82.2,7.63,48.82,1.016,8.36,222.8,1,0.05,0.02,90.22,12.46
75.03,3.51,49.59,0.8954,5.18,221.1,0,0.05,0.02,93.05,12.76
87.01,9.07,49.49,0.9404,10.22,221.9,2,0.05,0.02,86.48,12.84
89.41,0.65,51.52,1.0929,3.26,222.6,2,0.05,0.02,86.49,12.69
86.06,9.1,49.67,1.1332,10.04,223.1,2,0.05,0.02,86.83,12.49
71.04,1.12,49.79,1.0282,3.12,225.8,1,0.05,0.02,87.59,12.63
69.82,5.74,47.47,1.0788,7.51,227.4,2,0.05,0.02,84.57,12.69
64.97,3.01,47.3,0.8691,5.04,228.2,1,0.05,0.02,84.0,12.7
55.25,3.86,44.13,0.9162,5.72,230.2,0,0.05,0.02,89.81,12.69
80.66,3.48,50.74,1.0932,5.15,228.7,1,0.05,0.02,84.9,12.61
76.84,8.7,52.16,0.9408,10.01,230.7,1,0.05,0.02,88.07,12.79
88.66,6.61,50.85,0.9168,7.88,232.9,1,0.05,0.02,87.43,12.65
98.37,0.91,50.68,1.1491,2.89,231.6,0,0.05,0.02,86.54,12.68
93.08,4.9,53.42,1.15,6.73,231.2,2,0.05,0.02,88.3,12.7
93.19,1.6,51.68,0.9724,3.52,233.1,2,0.05,0.02,90.74,12.64
68.97,0.61,47.06,1.0561,2.61,237.6,2,0.05,0.02,86.1,12.87
57.72,4.76,48.25,0.8797,6.03,235.5,0,0.05,0.02,91.97,12.5
99.8,1.3,54.72,1.2801,3.39,236.8,0,0.05,0.02,82.41,12.83
76.33,4.76,49.14,0.837,6.44,237.2,0,0.05,0.02,89.34,12.78
98.96,7.7,49.09,1.1646,9.08,241.8,0,0.05,0.02,85.98,12.63
51.52,8.96,45.86,0.7982,10.3,242.5,2,0.05,0.02,91.56,12.69
57.06,1.46,48.54,0.8602,3.23,239.8,0,0.05,0.02,91.65,12.6
87.73,1.5,48.99,1.0078,3.42,241.3,1,0.05,0.02,89.28,12.57
69.04,4.06,49.4,0.9267,5.76,244.7,0,0.05,0.02,91.68,12.74
60.15,7.01,48.48,0.8131,8.49,242.1,0,0.05,0.02,94.8,12.83
95.05,6.38,52.77,1.0929,7.93,246.9,2,0.05,0.02,87.3,12.73
77.42,4.48,47.97,0.997,6.22,246.3,1,0.05,0.02,85.02,12.6
70.49,5.31,49.5,1.1517,6.8,249.6,2,0.05,0.02,89.1,12.54
56.51,5.65,46.88,0.7915,7.36,248.0,2,0.05,0.02,88.93,12.77
87.77,0.54,51.7,1.1462,2.74,250.9,1,0.05,0.02,86.0,12.58
96.19,1.74,52.85,1.1023,3.49,251.7,2,0.05,0.02,87.76,12.66
50.13,8.3,44.44,0.676,9.2,253.0,0,0.05,0.02,92.22,12.6
98.71,7.76,56.18,1.1469,9.37,250.4,0,0.05,0.02,88.34,12.76
79.81,8.34,51.78,0.948,9.48,255.4,1,0.05,0.02,91.06,12.81
56.85,7.8,48.5,0.8718,9.03,252.4,2,0.05,0.02,89.8,12.76
91.47,9.02,50.86,1.0174,10.15,254.5,2,0.05,0.02,87.89,12.7
69.61,3.93,47.2,0.9669,5.67,258.7,0,0.05,0.02,87.99,12.78
99.68,7.85,50.35,1.0518,9.0,257.6,1,0.05,0.02,88.02,12.67
74.52,1.33,49.6,1.0487,4.02,257.0,1,0.05,0.02,88.32,12.81
62.19,2.96,48.66,0.8246,4.83,257.4,1,0.05,0.02,90.71,12.48
54.57,3.4,47.96,0.8686,4.83,260.0,2,0.05,0.02,88.45,12.67
54.91,3.94,47.27,0.875,5.82,263.0,1,0.05,0.02,89.73,12.62
87.02,8.16,50.71,1.086,9.61,260.6,1,0.05,0.02,84.19,12.76
87.75,5.28,50.87,1.0873,6.67,264.5,2,0.05,0.02,83.53,12.82
96.62,2.36,52.06,1.1534,4.48,265.1,1,0.05,0.02,84.07,12.82
74.72,5.43,50.8,0.8865,6.96,265.2,1,0.05,0.02,91.48,12.73
57.12,0.87,46.12,0.9049,3.07,265.9,2,0.05,0.02,87.44,12.66
73.73,1.98,47.35,1.0187,4.01,265.2,1,0.05,0.02,85.7,12.9
96.3,4.89,46.72,0.953,6.51,267.7,2,0.05,0.02,87.61,12.86
77.52,1.46,48.72,1.1306,3.4,269.8,2,0.05,0.02,84.65,12.8
50.21,5.96,50.02,0.8133,8.05,272.2,0,0.05,0.02,86.59,12.89
90.65,1.41,47.98,1.1991,3.55,269.3,1,0.05,0.02,84.65,12.72
84.24,7.37,49.36,0.9595,8.57,271.1,2,0.05,0.02,86.89,12.71
54.89,2.18,45.66,0.8574,4.0,272.1,0,0.05,0.02,92.69,12.66
80.33,8.82,50.21,0.9207,9.89,276.1,0,0.05,0.02,91.92,12.62
58.64,8.6,47.46,0.6714,9.48,274.6,2,0.05,0.02,90.66,12.63
58.35,2.89,46.73,0.9361,4.46,275.6,2,0.05,0.02,88.97,12.64
78.94,1.98,50.72,0.9244,3.56,278.9,1,0.05,0.02,85.08,12.69
80.47,3.69,48.36,1.0782,5.39,277.5,1,0.05,0.02,86.12,12.76
85.95,6.68,51.11,0.8417,7.94,278.7,0,0.05,0.02,90.51,12.75
78.89,2.89,48.26,0.9642,4.9,278.2,2,0.05,0.02,87.53,12.88
84.71,1.11,48.34,0.9618,3.28,280.3,1,0.05,0.02,89.99,12.72
53.72,9.64,44.99,0.7768,11.04,282.7,0,0.05,0.02,92.52,12.97
97.77,2.98,50.93,1.2181,4.69,283.1,0,0.05,0.02,87.62,12.94
53.08,9.36,45.05,0.9423,10.41,286.5,1,0.05,0.02,84.21,12.61
67.96,2.71,47.43,0.8542,4.74,283.1,1,0.05,0.02,89.26,12.61
82.17,4.76,50.66,0.949,6.43,288.6,1,0.05,0.02,89.27,12.82
54.56,8.4,51.33,0.9306,9.98,287.5,1,0.05,0.02,83.39,12.69
89.88,3.15,51.65,0.9814,5.18,290.3,2,0.05,0.02,86.69,12.6
84.11,9.92,53.0,1.0877,11.15,287.7,2,0.05,0.02,83.4,12.78
52.14,6.79,48.82,0.8545,8.34,288.5,1,0.05,0.02,89.71,12.78
71.39,0.73,47.19,0.9623,3.05,291.3,0,0.05,0.02,87.46,12.61
77.9,2.15,48.28,0.8703,4.15,291.7,0,0.05,0.02,89.28,12.89
69.6,2.29,48.91,1.0515,4.27,293.7,0,0.05,0.02,88.03,12.78
54.57,3.98,49.27,0.8897,5.78,294.5,0,0.05,0.02,87.99,12.65
94.81,0.78,51.29,1.1479,3.22,293.5,1,0.05,0.02,84.44,12.77
50.24,3.31,47.31,0.9979,5.25,294.1,1,0.05,0.02,90.77,12.74
90.74,0.66,51.65,0.8966,2.34,296.8,2,0.05,0.02,86.22,12.81
70.17,5.28,49.99,1.2434,6.89,299.0,0,0.05,0.02,86.54,12.86
77.5,6.33,50.05,1.0773,8.14,300.9,2,0.05,0.02,89.15,12.74
90.7,2.85,52.22,1.0382,4.9,301.1,2,0.05,0.02,84.95,12.52
92.71,7.73,54.23,1.1665,9.1,301.7,1,0.05,0.02,86.98,12.67
77.91,2.44,46.24,1.1203,4.15,302.1,2,0.05,0.02,85.1,12.79
72.58,8.73,49.34,0.949,10.34,301.7,0,0.05,0.02,85.89,12.67
83.54,1.53,50.54,1.0403,3.69,303.8,0,0.05,0.02,88.55,12.7
73.83,6.64,46.8,1.1102,8.15,305.9,1,0.05,0.02,86.04,12.95
71.92,8.03,49.07,1.1287,9.47,305.0,1,0.05,0.02,85.19,12.57
83.81,1.22,49.64,1.0294,3.17,305.4,1,0.05,0.02,88.01,12.74
56.29,3.99,46.58,0.786,5.75,309.9,1,0.05,0.02,91.37,12.75
56.0,6.81,49.54,0.9828,8.2,310.5,0,0.05,0.02,85.49,12.74
81.06,5.34,49.98,1.0746,6.8,311.6,1,0.05,0.02,89.2,12.95
65.0,5.61,48.11,1.0124,7.19,313.1,0,0.05,0.02,90.7,13.03
77.22,4.22,50.49,1.0825,5.98,311.2,1,0.05,0.02,84.2,12.76
64.75,3.3,45.93,1.0185,5.02,314.2,2,0.05,0.02,87.06,12.76
97.79,1.27,54.16,1.156,3.02,316.5,1,0.05,0.02,88.78,12.79
68.03,0.52,47.61,0.8399,2.61,314.4,0,0.05,0.02,87.99,12.71
52.45,5.65,46.99,0.7245,7.33,314.5,0,0.05,0.02,92.67,12.76
53.67,4.1,48.84,1.0722,5.92,316.5,1,0.05,0.02,85.69,12.72
87.97,5.67,52.14,1.0024,7.51,316.6,0,0.05,0.02,89.48,12.86
94.55,2.23,54.1,1.004,4.19,317.1,0,0.05,0.02,91.79,12.6
85.73,4.53,50.57,1.1183,6.39,322.8,2,0.05,0.02,84.41,12.72
